Conflicting Qrels Summary:

Query: (30582,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30582,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (58804,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (14921,103,14199)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (14921,103,14199)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (15855,103,7056)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (15855,103,7056)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27766,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27766,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (30410,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30410,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (42195,103,1290)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (42195,103,1290)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (9784,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (17263,103,14674)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (17263,103,14674)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74659,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74659,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (30458,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30458,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (49054,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (35084,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (51111,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (51111,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (10909,103,1290)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (10909,103,1290)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27767,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27767,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74516,103,60959)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74516,103,60959)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (2416,103,11327)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (2416,103,11327)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (59225,103,68375)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (59225,103,68375)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (54984,103,6441)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (54984,103,6441)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (50724,103,7056)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (50724,103,7056)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (22635,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27133,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27133,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (30480,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30480,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74704,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74704,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74680,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74680,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (20600,103,1259)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (20600,103,1259)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (43408,103,11327)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (43408,103,11327)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74665,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74665,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (58021,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74685,103,2459)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74685,103,2459)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74677,103,64104)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74677,103,64104)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (44946,103,1527)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (44946,103,1527)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74679,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74679,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (11503,103,9223)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (11503,103,9223)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (30487,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30487,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74672,103,6036)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74672,103,6036)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (11494,103,9223)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (11494,103,9223)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74674,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74674,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27825,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27825,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74689,103,6441)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74689,103,6441)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (11468,103,9223)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (11468,103,9223)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74669,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
